seed,turn,stage,candidates,action_index,action_desc,elapsed_us,score_breakdown
1001,9,Train,7,0,速训练,35,#0 785[速训练 失败率0% 属性+144 PT+35] | #1 394[耐训练 失败率0% 属性+57 PT+22] | #2 93[力训练 失败率0% 属性+28 PT+9] | #3 408[根训练 失败率0% 属性+61 PT+24] | #4 331[智训练 失败率0% 属性+35 PT+18] | #5 -154[休息] | #6 -185[普通外出]
1001,10,RamenSelect,1,0,不吃面,1,仅1候选: 不吃面
1001,10,Train,7,3,根训练,27,#0 103[速训练 失败率0% 属性+54 PT+8] | #1 77[耐训练 失败率0% 属性+25 PT+8] | #2 196[力训练 失败率0% 属性+35 PT+15] | #3 362[根训练 失败率0% 属性+55 PT+22] | #4 286[智训练 失败率0% 属性+30 PT+16] | #5 48[休息] | #6 15[普通外出]
1001,10,Event,2,0,事件#102 追加训练:  根5  体力-5 羁绊+5 /   体力5,3,
1001,11,Event,2,1,事件#830305103 友人解锁:  智5 5pt 体力25 羁绊+5 干劲1 +休息心得(1回合) /  速5 智5 5pt 羁绊+5 干劲1 Hint+5 +休息心得(1回合),2,
1001,11,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,11,Train,1,0,比赛,0,仅1候选: 比赛
1001,12,RamenSelect,3,0,不吃面,70,#0 0[不吃面] | #1 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,12,Train,8,4,智训练,25,#0 239[速训练 失败率3% 属性+74 PT+16] | #1 76[耐训练 失败率1% 属性+26 PT+8] | #2 73[力训练 失败率2% 属性+29 PT+8] | #3 354[根训练 失败率3% 属性+63 PT+22] | #4 954[智训练 失败率0% 属性+94 PT+50] | #5 58[休息] | #6 15[普通外出] | #7 2547[友人外出#1 选项1 动态事件236 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]
1001,12,Event,2,0,事件#102 追加训练:  智5  体力-5 羁绊+5 /   体力5,2,
1001,13,RamenSelect,4,1,吃面/札幌-速,91,#0 0[不吃面] | #1 2055[吃面/札幌-速] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #3 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,13,SpecialSelect,1,0,吃面/札幌-速,2,仅1候选: 吃面/札幌-速
1001,13,Train,9,0,速训练,48,"#0 2448[速训练 失败率0% 属性+397 PT+120] | #1 233[耐训练 失败率0% 属性+39 PT+15] | #2 97[力训练 失败率0% 属性+34 PT+9] | #3 211[根训练 失败率0% 属性+52 PT+15] | #4 347[智训练 失败率0% 属性+43 PT+19] | #5 392[自选比赛(缺1场/剩22回合)+比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 2509[友人外出#1 选项1 动态事件198 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,14,Event,2,1,事件#5003 马娘事件3:  力20  /  根20 ,3,
1001,14,RamenSelect,2,0,不吃面,53,#0 0[不吃面] | #1 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,14,Train,9,3,根训练,27,"#0 445[速训练 失败率0% 属性+115 PT+22] | #1 234[耐训练 失败率0% 属性+40 PT+17] | #2 76[力训练 失败率0% 属性+30 PT+8] | #3 618[根训练 失败率0% 属性+92 PT+38] | #4 173[智训练 失败率0% 属性+29 PT+9] | #5 325[自选比赛(缺1场/剩21回合)+比赛(G4 五维[2, 3, 2, 3, 2]×1.55 PT+39 体力-15 折扣0.30)] | #6 48[休息] | #7 15[普通外出] | #8 2547[友人外出#1 选项1 动态事件236 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,15,Event,2,1,事件#5002 马娘事件2:  耐20  /  力20 ,2,
1001,15,RamenSelect,3,0,不吃面,69,#0 0[不吃面] | #1 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,15,Train,9,0,速训练,28,"#0 764[速训练 失败率19% 属性+187 PT+47] | #1 312[耐训练 失败率20% 属性+65 PT+23] | #2 325[力训练 失败率21% 属性+70 PT+27] | #3 40[根训练 失败率24% 属性+39 PT+8] | #4 173[智训练 失败率0% 属性+29 PT+9] | #5 407[自选比赛(缺1场/剩20回合)+比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 88[休息] | #7 15[普通外出] | #8 2555[友人外出#1 选项1 动态事件244 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,16,RamenSelect,4,0,不吃面,40,#0 0[不吃面：本回合基础决策不是训练] | #1 -inf[禁止吃面：本回合应先休息/外出/治病/比赛] | #2 -inf[禁止吃面：本回合应先休息/外出/治病/比赛] | #3 -inf[禁止吃面：本回合应先休息/外出/治病/比赛]
1001,16,Train,9,6,休息,26,"#0 -10[速训练 失败率55% 属性+70 PT+8] | #1 273[耐训练 失败率51% 属性+89 PT+37] | #2 57[力训练 失败率52% 属性+50 PT+17] | #3 -22[根训练 失败率55% 属性+40 PT+8] | #4 215[智训练 失败率13% 属性+39 PT+13] | #5 415[自选比赛(缺1场/剩19回合)+比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 123[休息] | #7 15[普通外出] | #8 2555[友人外出#1 选项1 动态事件244 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,17,RamenSelect,4,3,吃面/东京-智,127,#0 0[不吃面] | #1 2166[吃面/札幌-速] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #3 2169[吃面/东京-智]
1001,17,SpecialSelect,1,0,吃面/东京-智,0,仅1候选: 吃面/东京-智
1001,17,Train,9,4,智训练,46,"#0 568[速训练 失败率0% 属性+163 PT+27] | #1 234[耐训练 失败率0% 属性+41 PT+17] | #2 134[力训练 失败率0% 属性+41 PT+11] | #3 249[根训练 失败率0% 属性+57 PT+15] | #4 1095[智训练 失败率0% 属性+116 PT+50] | #5 349[自选比赛(缺1场/剩18回合)+比赛(G4 五维[2, 3, 2, 3, 2]×1.55 PT+39 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 2485[友人外出#1 选项1 动态事件174 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,18,RamenSelect,4,1,吃面/札幌-速,87,#0 0[不吃面] | #1 2163[吃面/札幌-速] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #3 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,18,SpecialSelect,1,0,吃面/札幌-速,0,仅1候选: 吃面/札幌-速
1001,18,Train,9,0,速训练,50,"#0 1178[速训练 失败率0% 属性+258 PT+53] | #1 270[耐训练 失败率0% 属性+46 PT+19] | #2 133[力训练 失败率0% 属性+41 PT+11] | #3 511[根训练 失败率0% 属性+99 PT+31] | #4 202[智训练 失败率0% 属性+42 PT+10] | #5 433[自选比赛(缺1场/剩17回合)+比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 2464[友人外出#1 选项1 动态事件153 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,19,Event,2,0,事件#5004 马娘事件4:  根20  /  智20 ,3,
1001,19,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,19,Train,9,4,智训练,37,"#0 507[速训练 失败率0% 属性+168 PT+23] | #1 195[耐训练 失败率0% 属性+36 PT+15] | #2 264[力训练 失败率0% 属性+53 PT+18] | #3 102[根训练 失败率0% 属性+43 PT+9] | #4 525[智训练 失败率0% 属性+69 PT+28] | #5 445[自选比赛(缺1场/剩16回合)+比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 2516[友人外出#1 选项1 动态事件205 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,20,RamenSelect,4,1,吃面/札幌-速,89,#0 0[不吃面] | #1 2171[吃面/札幌-速] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #3 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,20,SpecialSelect,1,0,吃面/札幌-速,0,仅1候选: 吃面/札幌-速
