seed,turn,stage,candidates,action_index,action_desc,elapsed_us,score_breakdown
1001,12,Train,8,4,智训练,60,#0 236[速训练 失败率0% 属性+76 PT+15] | #1 104[耐训练 失败率0% 属性+37 PT+9] | #2 102[力训练 失败率0% 属性+38 PT+9] | #3 416[根训练 失败率0% 属性+62 PT+25] | #4 1473[智训练 失败率0% 属性+126 PT+73] | #5 -154[休息] | #6 -185[普通外出] | #7 2431[友人外出#1 选项1 动态事件120 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]
1001,12,Event,2,0,事件#102 追加训练:  智5  体力-5 羁绊+5 /   体力5,3,
1001,13,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,13,Train,9,0,速训练,40,"#0 688[速训练 失败率0% 属性+133 PT+36] | #1 606[耐训练 失败率0% 属性+96 PT+31] | #2 81[力训练 失败率0% 属性+34 PT+8] | #3 157[根训练 失败率0% 属性+46 PT+12] | #4 308[智训练 失败率0% 属性+36 PT+17] | #5 393[自选比赛(缺1场/剩22回合)+比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 2435[友人外出#1 选项1 动态事件124 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,14,Event,2,1,事件#5003 马娘事件3:  力20  /  根20 ,2,
1001,14,RamenSelect,2,0,不吃面,52,#0 0[不吃面] | #1 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,14,Train,9,1,耐训练,27,"#0 95[速训练 失败率0% 属性+49 PT+8] | #1 681[耐训练 失败率0% 属性+107 PT+37] | #2 79[力训练 失败率0% 属性+33 PT+8] | #3 566[根训练 失败率0% 属性+88 PT+35] | #4 172[智训练 失败率0% 属性+28 PT+9] | #5 326[自选比赛(缺1场/剩21回合)+比赛(G4 五维[2, 3, 2, 3, 2]×1.55 PT+39 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 2472[友人外出#1 选项1 动态事件161 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,15,Event,2,0,事件#5002 马娘事件2:  耐20  /  力20 ,2,
1001,15,RamenSelect,3,1,吃面/札幌-速,69,#0 0[不吃面] | #1 2049[吃面/札幌-速] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,15,SpecialSelect,1,0,吃面/札幌-速,0,仅1候选: 吃面/札幌-速
1001,15,Train,9,0,速训练,46,"#0 1510[速训练 失败率0% 属性+229 PT+73] | #1 426[耐训练 失败率0% 属性+92 PT+22] | #2 487[力训练 失败率0% 属性+89 PT+29] | #3 98[根训练 失败率0% 属性+36 PT+9] | #4 207[智训练 失败率0% 属性+31 PT+11] | #5 407[自选比赛(缺1场/剩20回合)+比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 -154[休息] | #7 -185[普通外出] | #8 2507[友人外出#1 选项1 动态事件196 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,16,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,16,Train,9,1,耐训练,34,"#0 99[速训练 失败率0% 属性+54 PT+8] | #1 617[耐训练 失败率0% 属性+108 PT+33] | #2 245[力训练 失败率0% 属性+56 PT+17] | #3 80[根训练 失败率0% 属性+35 PT+8] | #4 253[智训练 失败率0% 属性+37 PT+13] | #5 415[自选比赛(缺1场/剩19回合)+比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 46[休息] | #7 15[普通外出] | #8 2540[友人外出#1 选项1 动态事件229 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,17,RamenSelect,4,3,吃面/东京-智,94,#0 0[不吃面] | #1 2163[吃面/札幌-速] | #2 2163[吃面/函馆-耐] | #3 2164[吃面/东京-智]
1001,17,SpecialSelect,1,0,吃面/东京-智,0,仅1候选: 吃面/东京-智
1001,17,Train,9,4,智训练,46,"#0 510[速训练 失败率4% 属性+129 PT+27] | #1 439[耐训练 失败率2% 属性+102 PT+23] | #2 135[力训练 失败率3% 属性+51 PT+11] | #3 229[根训练 失败率5% 属性+52 PT+15] | #4 1054[智训练 失败率0% 属性+123 PT+47] | #5 349[自选比赛(缺1场/剩18回合)+比赛(G4 五维[2, 3, 2, 3, 2]×1.55 PT+39 体力-15 折扣0.30)] | #6 61[休息] | #7 15[普通外出] | #8 2556[友人外出#1 选项1 动态事件245 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,18,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,18,Train,9,3,根训练,33,"#0 371[速训练 失败率0% 属性+95 PT+22] | #1 238[耐训练 失败率0% 属性+62 PT+16] | #2 121[力训练 失败率0% 属性+45 PT+10] | #3 444[根训练 失败率0% 属性+80 PT+28] | #4 163[智训练 失败率0% 属性+35 PT+8] | #5 433[自选比赛(缺1场/剩17回合)+比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 46[休息] | #7 15[普通外出] | #8 2542[友人外出#1 选项1 动态事件231 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,19,Event,2,0,事件#5004 马娘事件4:  根20  /  智20 ,3,
1001,19,RamenSelect,2,0,不吃面,52,#0 0[不吃面] | #1 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,19,Train,9,1,耐训练,27,"#0 81[速训练 失败率22% 属性+60 PT+10] | #1 499[耐训练 失败率20% 属性+124 PT+34] | #2 181[力训练 失败率21% 属性+61 PT+17] | #3 37[根训练 失败率24% 属性+39 PT+8] | #4 471[智训练 失败率0% 属性+63 PT+25] | #5 444[自选比赛(缺1场/剩16回合)+比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 88[休息] | #7 15[普通外出] | #8 2560[友人外出#1 选项1 动态事件249 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,20,RamenSelect,3,0,不吃面,198,#0 0[不吃面：本回合基础决策不是训练] | #1 -inf[禁止吃面：本回合应先休息/外出/治病/比赛] | #2 -inf[禁止吃面：本回合应先休息/外出/治病/比赛]
1001,20,Train,9,6,休息,28,"#0 356[速训练 失败率60% 属性+186 PT+50] | #1 77[耐训练 失败率68% 属性+128 PT+23] | #2 -20[力训练 失败率69% 属性+57 PT+13] | #3 -55[根训练 失败率72% 属性+43 PT+8] | #4 121[智训练 失败率29% 属性+35 PT+10] | #5 498[自选比赛(缺1场/剩15回合)+比赛(G2 五维[3, 5, 3, 5, 3]×1.55 PT+62 体力-15 折扣0.30)] | #6 138[休息] | #7 15[普通外出] | #8 2563[友人外出#1 选项1 动态事件252 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+213]"
1001,21,RamenSelect,3,1,吃面/札幌-速,68,#0 0[不吃面] | #1 2168[吃面/札幌-速] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,21,SpecialSelect,1,0,吃面/札幌-速,0,仅1候选: 吃面/札幌-速
1001,21,Train,9,0,速训练,45,"#0 1135[速训练 失败率0% 属性+216 PT+51] | #1 306[耐训练 失败率0% 属性+88 PT+19] | #2 297[力训练 失败率0% 属性+71 PT+19] | #3 243[根训练 失败率0% 属性+73 PT+16] | #4 355[智训练 失败率0% 属性+51 PT+19] | #5 470[自选比赛(缺1场/剩14回合)+比赛(G3 五维[3, 3, 3, 3, 3]×1.55 PT+54 体力-15 折扣0.30)] | #6 46[休息] | #7 15[普通外出] | #8 2314[友人外出#1 选项1 动态事件217 材料+2(库存0也不禁用) 饥饿+2028 未来+0 主动+0]"
1001,22,RamenSelect,3,2,吃面/函馆-耐,71,#0 0[不吃面] | #1 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #2 2170[吃面/函馆-耐]
1001,22,SpecialSelect,1,0,吃面/函馆-耐,0,仅1候选: 吃面/函馆-耐
1001,22,Train,9,1,耐训练,43,"#0 509[速训练 失败率0% 属性+135 PT+25] | #1 2327[耐训练 失败率0% 属性+449 PT+109] | #2 281[力训练 失败率0% 属性+75 PT+16] | #3 297[根训练 失败率0% 属性+71 PT+19] | #4 218[智训练 失败率0% 属性+42 PT+11] | #5 610[自选比赛(缺1场/剩13回合)+比赛(G1 五维[5, 5, 5, 5, 5]×1.55 PT+78 体力-15 折扣0.30)] | #6 48[休息] | #7 15[普通外出] | #8 1337[友人外出#1 选项1 动态事件253 材料+2(库存0也不禁用) 饥饿+1014 未来+0 主动+0]"
1001,22,Event,2,0,事件#102 追加训练:  耐5  体力-5 羁绊+5 /   体力5,3,
1001,23,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,23,Train,9,5,比赛,36,"#0 330[速训练 失败率19% 属性+110 PT+23] | #1 205[耐训练 失败率20% 属性+91 PT+17] | #2 62[力训练 失败率21% 属性+51 PT+9] | #3 170[根训练 失败率24% 属性+72 PT+17] | #4 452[智训练 失败率0% 属性+68 PT+24] | #5 629[自选比赛(缺1场/剩12回合)+比赛(G1 五维[5, 5, 5, 5, 5]×1.55 PT+78 体力-15 折扣0.30)] | #6 88[休息] | #7 15[普通外出] | #8 1344[友人外出#1 选项1 动态事件260 材料+2(库存0也不禁用) 饥饿+1014 未来+0 主动+0]"
1001,23,Event,2,0,事件#4101 G1比赛:  速5 耐5 力5 根5 智5 78pt 体力-15 / [大成功] 速5 耐5 力5 根5 智5 78pt 体力-5 (33%) | [成功] 速5 耐5 力5 根5 智5 78pt 体力-20 (66%),3,
