build,seed,score,rank,speed,stamina,power,guts,wisdom,skill_pt,scenario_pt_y1,scenario_pt_y2,scenario_pt_y3,rmj_ok,free_race_ok,eat_count_y1,eat_count_y2,eat_count_y3,region_y1,region_y2,region_y3,friend_turns_y1,friend_turns_y2,friend_turns_y3,gauge_gain_y1,gauge_gain_y2,gauge_gain_y3,gauge_overflow_y1,gauge_overflow_y2,gauge_overflow_y3,elapsed_ms
speed,8158757963912344451,86294,LG16,3337,2199,1767,1395,1519,8731,3150,5400,6750,3,1,8,10,10,0/1/4,5/7/9,11/14/17,12,16,15,43,42,49,0,1,6,37.214
stamina,8158757963912344451,90613,LG23,3313,2400,1144,1540,1978,8410,3150,5400,6750,3,1,8,10,10,0/1/4,5/7/9,14/15/17,10,16,15,40,45,49,0,5,6,21.563
power_wisdom,8158757963912344451,88393,LG19,2175,1766,2200,626,2445,7235,2700,5400,6750,3,1,7,10,10,0/2/4,6/8/9,10/12/14,10,17,14,41,42,48,1,1,7,19.191
speed_wisdom,8158757963912344451,98286,LF11,3337,2400,1154,1381,2422,8677,2700,4800,8250,3,1,7,9,12,0/1/4,5/7/8,11/17/18,9,17,16,40,39,48,3,0,0,19.569
wisdom,8158757963912344451,87417,LG18,3161,2064,910,1172,2445,7850,3600,5400,7500,3,1,9,10,11,0/1/4,5/7/8,10/17/18,13,19,12,42,45,48,0,3,0,21.419
sta0_wis2,8158757963912344451,85846,LG15,3050,924,1744,1585,2445,7718,3150,5400,7500,3,1,8,10,11,0/2/4,5/6/7,15/16/19,16,17,14,44,43,48,0,0,2,20.207
spd2_gut0,8158757963912344451,91879,LF,3309,2400,1970,1197,1594,8697,3150,5400,7500,3,1,8,10,11,0/1/2,5/8/9,15/17/18,11,16,14,40,39,48,1,0,0,19.301
